,SentenceNo,SequenceNo,Speaker,Text,Score,wc
344,344,192,TRUMP,"But I will tell you this, Atlantic City, you're using that, hundreds of companies that I have opened have thrived. I built a net worth of way over $10 billion, and I have done it four times out of hundreds. And I'm glad I did it.",1,46
345,345,192,TRUMP,"I used the laws of the country to my benefit, I'm sorry.",1,12
347,347,194,TRUMP,Thank you.,3,2
350,350,196,CARSON,"Well, there is no question that some people go overboard when it comes to trying to make profits, and they don't take into consideration the American people. What we have to start thinking about, as leaders, particularly in government, is what can we do for the average American? And you think about the reasons that we're having such difficulty right now with our job market.",1,65
351,351,196,CARSON,"Well, the average small manufacturer, whatever they're manufacturing, drugs or anything, if they have less than 50 employees, the average cost in terms of regulations is $34,000 per employee. Makes it a whole lot easier for them to want to go somewhere else.",1,43
352,352,196,CARSON,"So what we're going to have to start doing instead of, you know, picking on this group or this group, is we're going to have to have a major reduction in the regulatory influence that is going on.",1,38
353,353,196,CARSON,"The government is not supposed to be in every part of our lives, and that is what is causing the problem.",1,21
358,358,198,CHRISTIE,"You bet they do. And if I were the prosecutor, that is exactly where they would be. The fact is that this Justice Department under this president has been a political Justice Department.",1,33
359,359,198,CHRISTIE,"It has been a Justice Department that decided that they want to pick who the winners and losers are. They like General Motors, so they give them a pass. They don't like somebody else like David Petraeus, they prosecute them and send a decorated general on to disgrace. It's a political Justice Department.",1,53
360,360,198,CHRISTIE,"And, Jim, you know full well that in the seven years I was U.S. attorney we went after pharmaceutical companies. We went after companies that were ripping off shareholders. We went after companies that were doing things that were against the law.",3,42
361,361,198,CHRISTIE,"And to expand on Mr. Carson's -- or Dr. Carson's question, let's face it, we have laws already. We don't need newer (ph) laws. We don't need Hillary Clinton's price controls for -- again, does anybody out there think that giving Washington, D.C., the opportunity to run the pharmaceutical industry is a good idea, given how well they have done running the government?",1,63
362,362,198,CHRISTIE,"So what we do, though, is, if there is somebody who is price- gouging, we have laws for prosecutors to take that on. Let's let a Justice Department -- and I will make an attorney general who will enforce the law and make justice more than just a word. It will be a way of life.",3,56
367,367,201,BUSH,"Well, the deal was done. Barack Obama got his massive tax increase, and there was no spending cuts. You just see the recent deal announced today or yesterday, more spending, more tax increasing, more regulation. And now we have to accept 2 percent, the new normal for economic growth.",1,49
368,368,201,BUSH,"And the net result is the middle class has $2,300 less in their pockets than the day that Barack Obama got elected president. And now they see Hillary Clinton proposing a third term of economic policy for our country.",1,39
369,369,201,BUSH,"We need to reverse that. And my record was one of cutting taxes each and every year. You don't have to guess about it, because I actually have a record. $19 billion of tax cuts, 1.3 million jobs created. We were one of two states to go to AAA bond rating, and our government spending was far less than the spending in people's income.",1,64
371,371,203,BUSH,You find me...,2,3
373,373,205,BUSH,"You find me a Democrat -- you find me a Democrat that will cut spending ten dollars? Heck, find me a Republican in Congress that would cut spending ten dollars. I'll talk to them.",1,34
375,375,207,BUSH,"Look, the -- the deal is already done. The biggest tax increase happened under the watch of Barack Obama, and spending's gone up. You find a Democrat that's for cutting taxes -- cutting spending ten dollars, I'll give them a warm kiss.",3,42
376,376,207,BUSH,(LAUGHTER),5,1
380,380,210,FIORINA,"You know, I want to go back for a moment to what we were just talking about. Crony capitalism is alive and well, and has been so in Washington, D.C. for decades.",3,32
381,381,210,FIORINA,What's crony capitalism? Crony capitalism is what happens when government gets so big and so powerful that only the big and the powerful can handle it.,3,26
382,382,210,FIORINA,"So why are the pharmaceutical companies consolidating? Why are there five even bigger Wall Street banks now, instead of the ten we used to have on Wall Street? Because when government gets big and powerful, the big feel like they need to get even bigger to deal with all that power, and meanwhile, the small and the powerless -- in this case, 1,590 community banks -- go out of business.",1,70
383,383,210,FIORINA,"You see, folks, this is how socialism starts. Government causes a problem, and then government steps in to solve the problem. This is why, fundamentally, we have to take our government back.",1,32
384,384,210,FIORINA,"The student loan problem has been created by government. Government trying to level the playing field between Internet and brick-and-mortar creates a problem. The FCC jumping in now and saying, ""we're going to put 400 pages of regulation over the Internet,"" is going to create massive problems.",1,47
385,385,210,FIORINA,But guess who pushed for that regulation? The big Internet companies. This is what's going on. Big and powerful use big and powerful government to their advantage.,3,27
386,386,210,FIORINA,It's why you see Walgreens buying Rite Aid. It's why you see the pharmaceuticals getting together. It's you see the health insurance companies getting together. It's why you see the banks consolidating.,3,32
387,387,210,FIORINA,"And meanwhile, small businesses are getting crushed. Community- based businesses and farms are getting crushed. Community banks are going out of business. Big government favors the big, the powerful, the wealthy and the well-connected, and crushes the small and the powerless.",3,41
389,389,212,FIORINA,It is why we have to simplify. It is why we have to reduce the size and power of government.,1,20
391,391,214,FIORINA,It's the only way to level the playing field between big and powerful and small and powerless.,1,17
396,396,217,RUBIO,"Well, you just -- you just listed a litany of discredited attacks from Democrats and my political opponents, and I'm not gonna waste 60 seconds detailing them all. But I'm going to tell you the truth.",1,36
397,397,217,RUBIO,"Here's the truth. I didn't inherit any money. My dad was a bartender, my mother was a maid. They worked hard to provide us the chance at a better life.",1,30
398,398,217,RUBIO,"They didn't save enough money for us to go to school. I had to work my way through school. I had to borrow money to go to school. I tried (ph), early in my marriage, explaining to my wife why someone named Sallie Mae was taking $1,000 out of our bank account every month.",1,54
399,399,217,RUBIO,(LAUGHTER),5,1
400,400,217,RUBIO,"I know what it's like to owe that money, and we've worked hard. We've worked hard our whole life to provide a better family -- a better life for our family.",1,31
401,401,217,RUBIO,"We own a home four blocks away from the place that I grew up in. My four children have been able to receive a good Christian education, and I've been able to save for them to go to college so they never have to have the loans that I did.",3,50
402,402,217,RUBIO,"But I'm not worried about my finances, I'm worried about the finances of everyday Americans who today are struggling in an economy that is not producing good paying jobs while everything else costs more. And that's what this economy needs to -- that's what this debate needs to be about.",1,50
403,403,217,RUBIO,This debate needs to be about the men and women across this country that are struggling on a daily basis to provide for their families the better future that we've always said this country is all about.,1,37
405,405,219,RUBIO,"And I used it to pay off my loans. And it's available on paperback, if you're interested in buying my book.",1,21
406,406,219,RUBIO,(APPLAUSE),5,1
408,408,221,RUBIO,"Yeah, again, as I said, we're raising a family in the 21st century and it's one of the reasons why my tax plan is a pro- family tax plan.",1,29
409,409,221,RUBIO,"It increases the per child tax credit, because I didn't read about this in a book. I know for a fact how difficult it is to raise children, how expensive it's become for working families. And I make a lot more than the average American. Imagine how hard it is for these people out there that are making 40, 50, $60,000 a year, and they're trying to provide for their families at a time when this economy is not growing.",1,80
410,410,221,RUBIO,We can't afford another four years of that. Which is what we're gonna get if we elect a big government liberal like Hillary Clinton to the White House.,1,28
411,411,221,RUBIO,"Thank you, senator.",3,3
415,415,223,KASICH,"Well, first of all, when we talk about the Import Export Bank, it's time to clean up corporate welfare. If we're gonna reform welfare for poor people, we ought to reform it for rich people, as well. Secondly, in our state, we went from a loss of 350,000 jobs to, now, a gain of 347,000 jobs to the positive. Our wages are growing faster than the national average, and I've cut taxes more than any sitting governor in this state -- $5 billion, including no taxes on small business and killing the death tax.",0,94
416,416,223,KASICH,"I want to go back to what we were talking about earlier, this budget deal in Washington.",2,17
417,417,223,KASICH,This is the same old stuff since I left.,1,9
418,418,223,KASICH,You spend the money today and then you hope you're going to save money tomorrow.,2,15
419,419,223,KASICH,"I don't know if people understand, but I spent a lifetime with my colleagues getting us to a federal balanced budget. We actually did it. And I have a road map and a plan right now to get us to balance.",1,41
420,420,223,KASICH,"Reforming entitlements, cutting taxes. You see, because if you really want to get to a balanced budget, you need to reduce your expenses and you need to grow your economy. So what I will tell you about our incentives -- our incentives are tight, and at the end of the day we make sure that we gain more from the creation of jobs than what we lose.",3,67
421,421,223,KASICH,"And you know what? Ohio, one of the best growing places in the country -- I not only did it in Washington, I did it in Ohio, and I'll go back to Washington, and there will be no more silly deals...",3,41
423,423,225,KASICH,... If I become President because we'll have a Constitutional Amendment to require a federally balanced budget so they will do their job.,1,23
428,428,228,CRUZ,"Well, we've gotta turn the economy around for people who are struggling.",1,12
429,429,228,CRUZ,"The Democrats' answer to everything is more government control over wages, and more empowering trial lawyers to file lawsuits.",1,19
430,430,228,CRUZ,"You know, you look at women working. I'll tell you, in my family there are a lot of single moms in my family. My sister was a single mom, both of my aunts who were a single moms. My mom who's here today, was a single mom when my father left us when I was 3 years old.",2,58
431,431,228,CRUZ,"Now, thank God, my father was invited to a Bible study and became born again and he came back to my mom and me and we were raised together. But I -- the struggle of single moms is extraordinary. And you know, when you see Hillary Clinton and Bernie Sanders and all the Democrats talking about wanting to address the plight of working women, not a one of them mentioned the fact that under Barack Obama, 3.7 million women have entered poverty.",1,82
432,432,228,CRUZ,"Not a one of them mentioned the fact that under Barack Obama and the big government economy, the median wage for women has dropped $733. The the truth of the matter is, big government benefits the wealthy, it benefits the lobbyists, it benefits the giant corporations. And the people who are getting hammered are small businesses, it's single moms, it's Hispanics. That is who I'm fighting for. The people that Washington leaves behind.",1,73
433,433,228,CRUZ,(CROSSTALK),2,1
434,434,229,FIORINA,"Becky, it is the height of hypocrisy for Mrs. Clinton to talk about being the first woman President, when every single policy she espouses, and every single policy of President Obama has been demonstrably bad for women.",1,37
435,435,230,FIORINA,92 percent -- 92 percent of the jobs lost during Barack Obama's first term belonged to women. Senator Cruz is precisely right. Three million women have fallen into poverty under this administration. The number of women --,1,37
437,437,232,FIORINA,"-- living in extreme poverty is the highest level on record. I am a conservative because I know our values, our principles and our policies --",3,26
439,439,234,FIORINA,"-- work better to lift everyone up, men and women.",3,10
444,444,237,CARSON,"Well, obviously, you don't understand my views on homosexuality. I believe that our Constitution protects everybody, regardless of their sexual orientation or any other aspect. I also believe that marriage is between one man and one woman. And there is no reason that you can't be perfectly fair to the gay community.",3,52
445,445,237,CARSON,"They shouldn't automatically assume that because you believe that marriage is between one man and one woman that you are a homophobe. And this is one of the myths that the left perpetrates on our society, and this is how they frighten people and get people to shut up. You know, that's what the PC culture is all about, and it's destroying this nation.",1,64
446,446,237,CARSON,"The fact of the matter is we the American people are not each other's enemies, it's those people who are trying to divide us who are the enemies. And we need to make that very clear to everybody.",1,38
447,447,237,CARSON,(APPLAUSE) ,5,1
449,449,239,CARSON,"Well, that's easy to answer. I didn't have an involvement with them. That is total propaganda, and this is what happens in our society. Total propaganda.",0,26
450,450,239,CARSON,"I did a couple of speeches for them, I do speeches for other people. They were paid speeches. It is absolutely absurd to say that I had any kind of a relationship with them.",1,34
451,451,239,CARSON,Do I take the product? Yes. I think it's a good product.,3,12
453,453,241,CARSON,"If somebody put me on their homepage, they did it without my permission.",1,13
455,455,243,CARSON,"No, it speaks to the fact that I don't know those --",2,12
456,456,243,CARSON,(AUDIENCE BOOS),2,2
457,457,243,CARSON,See? They know.,2,3
458,458,243,CARSON,(APPLAUSE),5,1
464,464,246,RUBIO,"Well, first of all, if a company gets caught doing that, they should never be able to use the program again. If you get caught abusing this program, you should never be able to use it again.",1,37
465,465,246,RUBIO,"The second thing I said is we need to add reforms, not just increase the numbers, but add reforms. For example, before you hire anyone from abroad, you should have to advertise that job for 180 days. You also have to prove that you're going to pay these people more than you would pay someone else, so that you're not undercutting it by bringing in cheap labor.",1,67
466,466,246,RUBIO,"But here's the best solution of all. We need to get back to training people in this country to do the jobs of the 21st century. Why, for the life of me, I do not understand why did we stop doing vocational education in America, people that can work with their hands; people you can train to do this work while they're still in high school so they can graduate ready to go work. But the best way to close this gap is to modernize higher education so Americans have the skills for those jobs. But in the interim, in the absence of that, what's happening is some of these tech companies are taking those -- those centers (ph) to Canada because they can get people to go over there instead of here.",1,133
467,467,246,RUBIO,But the ideal scenario is to train Americans to do the work so we don't have to rely on people from abroad.,3,22
470,470,248,RUBIO,"Well, I believe that there are abuses, those companies should be permanently barred from ever using the program again and we should put strict standards in place to ensure that they're not being abused, like the prevailing wage requirement and like the advertising requirement.",0,44
474,474,251,TRUMP,"I was not at all critical of him. I was not at all. In fact, frankly, he's complaining about the fact that we're losing some of the most talented people. They go to Harvard. They go to Yale. They go to Princeton. They come from another country and they're immediately sent out.",1,52
475,475,251,TRUMP,I am all in favor of keeping these talented people here so they can go to work in Silicon Valley.,3,20
478,478,253,TRUMP,So I have nothing at all critical of him.,1,9
481,481,255,TRUMP,"Probably, I don't know -- you people write the stuff. I don't know where you...",1,15
482,482,255,TRUMP,(LAUGHTER),5,1
483,483,255,TRUMP,(APPLAUSE),5,1
484,484,256,TRUMP,"And if I could say just one thing. I am the only person in either campaign that's self-funding. I'm putting up 100 percent of my own money. And right now, I will be putting up a tremendous -- so far, I've put up less than anybody and I have the best results. Wouldn't that be nice if the country could do that?",3,62
485,485,256,TRUMP,"But I will be putting -- I will be putting up, you know, tremendous amounts of money. SuperPacs are a disaster. They're a scam. They cause dishonesty. And you better get rid of them because they are causing a lot of bad decisions to be made by some very good people. And I'm not blaming these folks -- well, I guess I could.",1,63
486,486,256,TRUMP,(LAUGHTER),5,1
487,487,256,TRUMP,"Very good people are making very bad decisions right now. And if anything comes out of this whole thing with some of these nasty and ridiculous questions, I will tell you, you better get rid of the SuperPacs because they causing a big problem with this country, not only in dishonesty and what's going on, but also in a lot of bad decisions that have been made for the benefit of lobbyists and special interests.",1,75
489,489,258,TRUMP,I never said that. I never said that.,2,8
491,491,260,TRUMP,"You've got another gentleman in Florida, who happens to be a very nice guy, but not...",1,16
494,494,262,TRUMP,... he's really doing some bad...,1,6
495,495,262,TRUMP,(CROSSTALK),2,1
496,496,263,RUBIO,"Since I've been mentioned, can I respond?",1,7
497,497,263,RUBIO,(CROSSTALK),2,1
499,499,265,RUBIO,OK. I know the Democrats have the ultimate SuperPac. It's called the mainstream media who every single day...,2,18
500,500,265,RUBIO,(APPLAUSE),5,1
501,501,265,RUBIO,"... and I'll tell you why. Last week, Hillary Clinton went before a committee. She admitted she had sent e-mails to her family saying, ""Hey, this attack at Benghazi was caused by Al Qaida-like elements."" She spent over a week telling the families of those victims and the American people that it was because of a video. And yet the mainstream media is going around saying it was the greatest week in Hillary Clinton's campaign.",2,75
502,502,265,RUBIO,It was the week she got exposed as a liar. It was the week that she got exposed as a liar...,2,21
503,503,265,RUBIO,(APPLAUSE),5,1
504,504,265,RUBIO,"But she has her super PAC helping her out, the American mainstream media.",3,13
509,509,268,CRUZ,"Well, Rick, it's a very important question. I have got deep concerns about the Fed. The first thing I think we need to do is audit the Fed. And I am an original co-sponsor of Rand Paul's audit the Fed legislation.",1,41
510,510,268,CRUZ,"The second thing we need to do is I think we need to bring together a bipartisan commission to look at getting back to rules- based monetary policy, end this star chamber that has been engaging in this incredible experiment of quantitative easing, QE1, QE2, QE3, QE- infinity.",1,48
511,511,268,CRUZ,"And the people who are being impacted, you know, a question that was asked earlier, Becky asked, was about working women. You know, it's interesting, you look at on Wall Street, the Fed is doing great. It's driving up stock prices. Wall Street is doing great.",1,46
512,512,268,CRUZ,"You know, today, the top 1 percent earn a higher share of our income than any year since 1928. But if you look at working men and women. If you look at a single mom buying groceries, she sees hamburger prices have gone up nearly 40 percent.",1,47
513,513,268,CRUZ,"She sees her cost of electricity going up. She sees her health insurance going up. And loose money is one of the major problems. We need sound money. And I think the Fed should get out of the business of trying to juice our economy and simply be focused on sound money and monetary stability, ideally tied to gold.",1,59
515,515,270,PAUL,"Well, thank you very much. I would like to thank Ted for co-sponsoring my bill, audit the Fed. And I think it's precisely because of the arrogance of someone like Ben Bernanke, who now calls us all know-nothings, that is precisely why we need audit the Fed.",1,47
516,516,270,PAUL,"I think it is really very much a huge problem that an organization as powerful as the Fed comes in, lobbies against them being audited on the Hill. I would prevent them lobbying Congress. I don't think the Fed should be involved with lobbying us.",1,45
517,517,270,PAUL,"I think we should examine how the Fed has really been part of the problem. You want to study income inequality, let's bring the Fed forward and talk about Fed policy and how it causes income inequality.",2,37
518,518,270,PAUL,"Let's also bring the Fed forward and have them explain how they caused the housing boom and the crisis, and what they've done to make us better or worse. I think the Fed has been a great problem in our society.",1,41
519,519,270,PAUL,"What you need to do is free up interest rates. Interest rates are the price of money, and we shouldn't have price controls on the price of money.",1,28
524,524,272,CARSON,"Well, first of all, I was wrong about taking the oil subsidy. I have studied that issue in great detail. And what I have concluded is that the best policy is to get rid of all government subsidies, and get the government out of our lives, and let people rise and fall based on how good they are.",1,58
525,525,272,CARSON,"And -- you know, all of this too big to fail stuff and picking and choosing winners and losers -- this is a bunch of crap, and it is really causing a great deal of -- great deal of problems for our society right now.",0,45
526,526,272,CARSON,"And -- and -- you know, it goes back to the whole concept of regulations, which are in everything. The reason that I -- I hate them so much is because every single regulation costs in terms of goods and services.",1,41
527,527,272,CARSON,"That cost gets passed on to the people. Now, who are the people who are hurt by that? It's poor people and middle class. Doesn't hurt rich people if their bar of soap goes up ten cents, but it hurts the poor and the middle class.",1,46
528,528,272,CARSON,"And Bernie Sanders will tell them that it's because of the rich. Well, I'll tell you something you can take everything from the top 1 percent, and you apply it to our fiscal gap, and you won't even make a dent in it.",3,43
534,534,275,HUCKABEE,"I don't think it's so much about when the government orders a corporation to do something. In fact, that's part of the problem. If you saw that blimp that got cut loose from Maryland today, it's a perfect example of government.",3,41
535,535,275,HUCKABEE,"I mean, what we had was something the government made -- basically a bag of gas -- that cut loose, destroyed everything in its path, left thousands of people powerless, but they couldn't get rid of it because we had too much money invested in it, so we had to keep it.",1,52
536,536,275,HUCKABEE,That is our government today. We saw it in the blimp.,3,11
537,537,275,HUCKABEE,(APPLAUSE),5,1
538,538,275,HUCKABEE,"That's exactly what we saw. So look, corporations ought to exercise some responsibility. When CEO income has risen 90 percent above the average worker, when the bottom 90 percent of this country's economy has had stagnant wages for the past 40 years, somebody is taking it in the teeth.",1,49
539,539,275,HUCKABEE,"And it's not the folks on Wall Street. I'm not anti-Wall Street, but I don't believe the government ought to wear a team jersey, pick winners and losers.",1,28
541,541,277,HUCKABEE,The government ought to wear a striped shirt and just make sure the game...,1,14
543,543,279,HUCKABEE,...is paid -- played fairly.,2,5
546,546,282,HUCKABEE,Let me just close it out this way.,2,8
548,548,284,HUCKABEE,We need to be focusing on what fixes this country. And I'll tell you one thing that we never talk about -- we haven't talked about it tonight.,1,28
549,549,284,HUCKABEE,"Why aren't we talking about -- instead of cutting benefits for old people, cutting benefits for sick people -- why don't we say, ""let's cure the four big cost-driving diseases...",1,30
551,551,286,HUCKABEE,"...""diabetes, heart disease, cancer and Alzheimer's?""",1,6
553,553,288,HUCKABEE,"If you do that, you don't just change the economy, you transform the lives of millions of hurting Americans.",3,19
555,555,290,HUCKABEE,"Gosh, I'd love for us to talk about something like that. Thank you. QUICK: Governor, thank you. Appreciate it.",3,19
556,556,290,HUCKABEE,John?,2,1
559,559,292,BUSH,"Look, the -- the simple fact is that my plan actually gives the middle class the greatest break: $2,000 per family. And if you make $40,000 a year, a family of four, you don't pay any income tax at all.",3,40
560,560,292,BUSH,"Simplifying the code and lowering rates, both for corporations and -- and personal rates, is exactly what we need to do. You think about the regulatory cost and the tax cost -- that's why small businesses are closing, rather than being formed in our country right now.",1,47
561,561,292,BUSH,"The big corporations have the scale to deal with all of this. And what I think all of us are saying is, our monetary policy, our tax policy, regulatory policy needs to be radically changed so we can create high sustained growth for income to rise.",3,46
562,562,292,BUSH,"The government has tried it their way. Under -- under Barack Obama and the proposals of Hillary Clinton and Bernie Sanders and others, they've tried it their way, and it has failed miserably.",0,33
563,563,292,BUSH,"We need to take a new approach of taxing -- reforming how we tax, and reforming the regulations in our -- in our country before it's too late.",1,28
567,567,294,RUBIO,"No, that's -- you're wrong. In fact, the largest after- tax gains is for the people at the lower end of the tax spectrum under my plan. And there's a bunch of things my tax plan does to help them.",1,40
568,568,294,RUBIO,"Number one, you have people in this country that...",2,9
571,571,296,RUBIO,"...you wrote a story on it, and you had to go back and correct it.",3,15
573,573,298,RUBIO,"You did. No, you did.",2,5
574,574,298,RUBIO,(APPLAUSE),5,1
575,575,298,RUBIO,(CROSSTALK),2,1
577,577,300,RUBIO,"Well, you're talking about -- yeah.",1,6
579,579,302,RUBIO,"Yeah, but that -- because the math is, if you -- 5 percent of a million is a lot more than 5 percent of a thousand. So yeah, someone who makes more money...",1,33
581,581,304,RUBIO,"...numerically, it's gonna be higher. But the greatest gains, percentage-wise, for people, are gonna be at the lower end of our plan, and here's why: because in addition to a general personal exemption, we are increasing the per-child tax credit for working families.",1,43
582,582,304,RUBIO,"We are lowering taxes on small business. You know, a lot of business activity in America is conducted like the guy that does my dry cleaning. He's an S corporation. He pays on his personal rate, and he is paying higher than the big dry-cleaning chain down the street, because he's paying at his personal rate.",1,56
583,583,305,RUBIO,"Under my plan, no business, big or small, will pay more than 25 percent flat rate on their business income. That is a dramatic tax decrease for hard-working people who run their own businesses.",1,34
584,584,305,RUBIO,(CROSSTALK),2,1
585,585,306,RUBIO,"...The other thing I'd like to make about our plan, one more point, it is the most pro growth tax plan that I can imagine because it doesn't tax investments at all. You know why? Because the more you tax something, the less of it you get.",1,47
586,586,306,RUBIO,I want to be in -- I want America to be the best...,3,13
587,587,307,PAUL,...John...,2,1
588,588,308,RUBIO,...in the world for people...,2,5
590,590,310,PAUL,"John, I'd like to address this? John, could I follow up on this?",2,13
592,592,312,PAUL,What are the rules on who gets to follow up. How do we decide on who gets to follow up? I've seen plenty of other people follow up?,2,28
597,597,316,PAUL,"I'd like to just mention something about my tax plan, and how it relates to the discussion...",2,17
599,599,318,PAUL,"Alright. Much of the discussion is centered over whether or not the different tax plans help, or affect the middle class. In fact, it's the chief argument by democrats against many of the different flat tax proposals. Mine is unique in the sense that my tax plan actually gets rid of the payroll tax as well. It shifts it to the business, and it would allow middle class people to get a tax cut.",1,74
600,600,318,PAUL,"If you just cut their income tax, there isn't much income tax to cut. Mine actually cuts the payroll tax, and I think it would spread the tax cut across all socioeconomic levels, and would allow then it to be something that would be broadly supported by the public in an election.",0,52
602,602,320,CRUZ,Let me say on that...,2,5
604,604,322,CRUZ,"...Rand is exactly right. His plan is a good plan, and I will note that my 10% plan also eliminates the payroll tax, eliminates the death tax,",3,27
606,606,324,CRUZ,...eliminates the business...,2,3
608,608,326,CRUZ,...income tax...,2,2
610,610,328,CRUZ,...10% flat rate...,2,3
612,612,330,CRUZ,"...is the lowest personal rate any candidate up here has, and what it would also enable us to do is for every citizen to fill out their taxes on a postcard so we can eliminate the IRS.",1,37
613,613,330,CRUZ,(CHEERING) (APPLAUSE),5,2
616,616,332,KASICH,"Well, first of all, we're running a $2 billion dollar surplus, we're not having a revenue problem right now. And, sending mixed signals to kids about drugs is a disaster. Drugs is one of the greatest scourge in this country, and I spent five years of my administration working with my team to do a whole sort of things to try to reign in the problem of overdoses, and it goes on and on. We could do a whole show on that.",3,82
617,617,332,KASICH,"I want to go back for a second thought on this issue of income inequality. My program would move the 104 programs of the federal Department of Education into four block grants, and send them back to the states because income inequality is driven by a lack of skills when kids don't get what they need to be able to compete and win in this country.",1,66
618,618,332,KASICH,"The fact is, in order to get this economy moving again, I call for freezing regulations for a year except for the problem of public safety. I believe that we need to cut these taxes down, we need to be on a roadmap to balancing the budget, and we need to send power, money, and influence, the welfare department, the education department, job training, infrastructure, Medicaid, all of that out of Washington back to the states so we can run these programs from where we live to the top, not a one size fits all mentality that they have in Washington.",1,101
619,619,332,KASICH,"And, that will get to the nub of opportunity for our children, and an ability to see wages rise. Again...",3,20
620,620,332,KASICH,(CROSSTALK),2,1
621,621,333,KASICH,"...One more time, in Ohio, our wages are growing faster than the national average. We've cut taxes, balanced budgets, changed the regulatory environment. Folks, you want to --",3,28
623,623,335,KASICH,"-- fix America, this is the formula. It worked for Reagan and it works for our team in Ohio. Thank you.",3,21
629,629,338,TRUMP,"I'm in favor of people coming into this country legally. And you know what? They can have it anyway you want. You can call it visas, you can call it work permits, you can call it anything you want. I've created tens of thousands of jobs, and in all due respect -- and actually some of these folks I really like a lot -- but I'm the only one that can say that. I have created tens of thousands of jobs, and I'll be creating many millions of jobs if I'm given -- if I'm given the opportunity to be president.",3,101
630,630,338,TRUMP,"As far as Mark is concerned, as far as the visas are concerned, if we need people, they have -- it's fine. They have to come into this country legally. We have a country of borders. We have a country of laws. We have to obey the laws. It's fine if they come in, but they have to come in legally.",3,61
632,632,340,RUBIO,I was mentioned in the question.,2,6
634,634,342,RUBIO,Thank you.,3,2
635,635,342,RUBIO,"Well, I've learned the rules on this.",1,7
636,636,342,RUBIO,(LAUGHTER),5,1
637,637,342,RUBIO,"Look, in addition to what Donald was saying is we also need to talk about the legal immigration system for permanent residents. Today, we have a legal immigration system for permanent residency that is largely based on whether or not you have a relative living here. And that's the way my parents came legally in 1956.",1,56
638,638,342,RUBIO,"But in 2015, we have a very different economy. Our legal immigration system from now on has to be merit-based. It has to be based on what skills you have, what you can contribute economically, and most important of all, on whether or not you're coming here to become an American, not just live in America, but be an American.",3,60
642,642,345,TRUMP,Yes.,2,1
644,644,347,TRUMP,Or somebody else. Right.,2,4
646,646,349,TRUMP,"Yes, I might feel more comfortable. I would say that I would and I have a permit, which is very unusual in New York -- a permit to carry. And I do carry on occasion, sometimes a lot. But I like to be unpredictable so that people don't know exactly... (LAUGHTER)",5,51
650,650,351,TRUMP,"By the way, unlike our country where we're totally predictable and the enemy, whether it's ISIS or anybody else, they know exactly what we're doing because we have the wrong leadership.",1,31
651,651,351,TRUMP,(APPLAUSE),5,1
652,652,351,TRUMP,"But I feel that the gun-free zones and, you know, when you say that, that's target practice for the sickos and for the mentally ill. That's target. They look around for gun-free zones. You know, we could give you another example -- the Marines, the Army, these wonderful six soldiers that were killed. Two of them were among the most highly decorated -- they weren't allowed on a military base to have guns. And somebody walked in and shot them, killed them. If they had guns, he wouldn't be around very long. I can tell you, there wouldn't have been much damage.",1,102
653,653,351,TRUMP,"So, I think gun-free zones are a catastrophe. They're a feeding frenzy for sick people.",1,15
655,655,353,TRUMP,I would change them. I would change them.,2,8
660,660,356,HUCKABEE,"You know, of the few questions I've got, the last one I need is to give him some more time. I love Donald Trump. He is a good man. I'm wearing a Trump tie tonight. Get over that one, OK?",3,40
661,661,356,HUCKABEE,(APPLAUSE),5,1
662,662,356,HUCKABEE,(CROSSTALK),2,1
666,666,360,HUCKABEE,I have no idea.,1,4
667,667,360,HUCKABEE,(CROSSTALK),2,1
668,668,361,TRUMP,"Such a nasty -- such a nasty question, but thank you, Governor.",1,12
669,669,362,HUCKABEE,You're welcome.,3,2
670,670,362,HUCKABEE,(LAUGHTER),5,1
671,671,362,HUCKABEE,"Let me tell you, Donald Trump would be a president every day of the week and twice on Sunday, rather than Hillary. I've spent a lifetime in politics fighting the Clinton machine.",1,32
672,672,362,HUCKABEE,(APPLAUSE),5,1
673,673,362,HUCKABEE,"You want to talk about what we're going to be up against next year? I'm the only guy on this stage -- you know, everybody has an ""only guy"" -- ""I'm the only guy this; I'm the only guy that."" Well, let me tell you one thing that I am the only guy The only guy that has consistently fought the Clinton machine every election I was ever in over the past 26 years. And not only did I fight them, but I beat them.",1,85
674,674,362,HUCKABEE,"Somebody says ""I'm a fighter."" Well, I want to know, did you win? Well, I did. And not only did I fight them and win, I lived to tell about it and I'm standing on this stage tonight as evidence of that. And I think that ought to be worth something.",1,51
676,676,364,CHRISTIE,"John, I'll tell you something. You want to talk about moral authority. Let's talk about something that happened this week in the news. You know, the FBI director, the president's appointed FBI director has said this week that because of a lack of support from politicians like the president of the United States, that police officers are afraid to get out of their cars; that they're afraid to enforce the law. And he says, the president's appointee, that crime is going up because of this.",1,85
677,677,364,CHRISTIE,"And when the president of the United States gets out to speak about it, does he support police officers? Does he stand up for law enforcement? No, he doesn't. I'll tell you this, the number one job of the president of the United States is to protect the safety and security of the American people. This president has failed, and when I'm in the Oval Office, police officers will know that they will have the support of the president of the Untied States. That's real moral authority that we need in the Oval Office.",0,94
684,684,367,FIORINA,"No, the Federal Government should not play a larger role.",2,10
