SentenceNo,SequenceNo,Speaker,Text,PolarityScore,Type
324,161,RUBIO,"Now, I also want to respond to several folks up here who said we should trust this Iranian deal, see if the Iranians will comply.",0.0,rep2
325,161,RUBIO,"Anyone who is paying attention to what Khamenei says knows that they will not comply. There is a reason Khamenei refers to Israel as the little Satan, and America as the great Satan.",0.30625,rep2
326,161,RUBIO,"In the middle of negotiating this treaty, Khamenei led the assembled masses in chanting, death to America. I'm reminded of a great editorial cartoon. It shows the Ayatollah Khamenei saying, ""Death to all Americans,"" and then it shows John Kerry coming back, saying, ""Can we meet ya half way?""",-0.08333333333333333,rep2
327,161,RUBIO,(LAUGHTER),0.0,rep2
328,161,RUBIO,"We need a commander-in-chief who will stand up and protect this country. And I'll tell you, I can't wait to stand on that debate stage with Hillary Clinton and to make abundantly clear if you vote for Hillary, you are voting for the Ayatollah Khomeini to possess a nuclear weapon and if you elect me as president, under no circumstances will a theocratic ayatollah who chants death to America ever be allowed to acquire a nuclear weapon.",0.45,rep2
329,161,RUBIO,(CROSSTALK),0.0,rep2
330,162,TAPPER,We're going to go to Dana Bash...,0.0,rep2
331,162,TAPPER,(CROSSTALK),0.0,rep2
332,163,KASICH,"No, no, no. I want to - I want to - I want to say something about what the senator just said.",0.0,rep2
333,164,FIORINA,And then it'll be my turn.,0.0,rep2
334,165,KASICH,No one is - no - let me - let me suggest to you we believe that we operate better in the world when our allies work with us. President Bush did it in the Gulf War. We work better when we are unified.,0.5,rep2
335,165,KASICH,"Secondly, nobody's trusting Iran. They violate the deal, we put on the sanctions, and we have the high moral ground to talk to our allies in Europe to get them to go with us.",0.08,rep2
336,165,KASICH,"If they don't go with us, we slap the sanctions on anyway. If they fund these radical groups that threaten Israel and all of the West, then we should rip up the deal and put the sanctions back on.",0.0,rep2
337,165,KASICH,And let me make it clear - let me make it clear...,0.10000000000000002,rep2
338,165,KASICH,(CROSSTALK),0.0,rep2
339,166,KASICH,"... if we think - if we think they're getting close to a - to developing a nuclear weapon and we get that information, you better believe that I would do everything in my power as the commander-in-chief to stop them having a nuclear weapon.",0.5,rep2
340,167,CRUZ,"Jake, Jake...",0.0,rep2
341,168,KASICH,"We can have it, and we can have our allies, and we can be strong as a country, and we can project across this globe with unity, not just doing it alone. That is not what gets us where we want to get as a nation.",0.4333333333333333,rep2
342,169,TAPPER,Senator Cruz?,0.0,rep2
343,170,CRUZ,"Jake, there is no more important topic in 2016 than this topic right here, and I've listened to several folks saying, ""Well, gosh, if they cheat, we'll act.""",0.10892857142857144,rep2
344,170,CRUZ,"We won't know under this agreement - there are several facilities in Iran they designate as military facilities that are off limit all together. Beyond that, the other facilities, we give them 24 days notice before inspecting them. That is designed to allow them to hide the evidence.",-0.05,rep2
345,170,CRUZ,"And most astonishingly, this agreement trusts the Iranians to inspect themselves. That makes no sense whatsoever.",0.5,rep2
346,170,CRUZ,And let me know - President Obama is violating federal law...,0.0,rep2
347,171,TAPPER,"Thank you, Senator.",0.0,rep2
348,172,CRUZ,"... by not handing over the side deals, and we ought to see the United States Congress...",0.0,rep2
349,173,TAPPER,"Thank you, Senator.",0.0,rep2
350,174,CRUZ,"... stand up together and say, ""Hand over this treaty, and protect this country.""",0.0,rep2
351,175,TAPPER,"Thank you, Senator. I want to...",0.0,rep2
352,176,FIORINA,Jake?,0.0,rep2
353,177,TAPPER,... turn back to Governor Huckabee...,0.0,rep2
354,178,FIORINA,Jake?,0.0,rep2
355,179,TAPPER,I want to turn back to Governor Huckabee.,0.0,rep2
356,179,TAPPER,"Governor Huckabee, last week, you held a rally for a county clerk in Kentucky who was jailed for refusing to issue marriage licenses to same-sex couples, as I don't need to tell you.",0.0,rep2
357,179,TAPPER,"You've called what happened to Kim Davis, that clerk, ""an example of the criminalization of Christianity."" There are several people on the stage who disagree with you.",0.0,rep2
358,179,TAPPER,"Governor Bush, for example, says that that clerk is sworn to uphold the law. Is Governor Bush on the wrong side of the criminalization of Christianity?",0.0,rep2
359,180,HUCKABEE,"No, I don't think he's on the wrong side of such an issue. Jeb is a friend. I'm not up here to fight with Jeb or to fight with anybody else.",0.0,rep2
360,180,HUCKABEE,But I am here to fight for somebody who is a county clerk elected under the Kentucky constitution that 75 percent of the people of that state had voted for that said that marriage was between a man and a woman.,0.0,rep2
361,180,HUCKABEE,"The Supreme Court in a very, very divided decision decided out of thin air that they were just going to redefine marriage. It's a decision that the other justices in dissent said they didn't have and there wasn't a constitutional shred of capacity for them to do it.",-0.125,rep2
362,180,HUCKABEE,"I thought that everybody here passed ninth-grade civics. The courts cannot legislate. That's what Roberts said. But heck, it's what we learned in civics.",0.0,rep2
363,180,HUCKABEE,The courts can't make a law. They can interpret one. They can review one. They can't implement it. They can't force it.,0.0,rep2
364,180,HUCKABEE,"But here's what happened Because the courts just decided that something was going to be and people relinquished it and the other two branches of government sat by silently - I thought we had three branches of government, they were all equal to each other, we have separation of powers, and we have checks and balances.",-0.0625,rep2
365,180,HUCKABEE,"If the court can just make a decision and we just all surrender to it, we have what Jefferson said was judicial tyranny.",0.0,rep2
366,180,HUCKABEE,The reason that this is a real issue that we need to think about...,0.2,rep2
367,181,TAPPER,"Thank you, Governor.",0.0,rep2
368,182,HUCKABEE,"No, no. Let me finish this one thought, Jake. I haven't gotten that much time, so I'm going to take just what little I can here.",0.006250000000000006,rep2
369,182,HUCKABEE,"We made accommodation to the Fort Hood shooter to let him grow a beard. We made accommodations to the detainees at Gitmo - I've been to Gitmo, and I've seen the accommodations that we made to the Muslim detainees who killed Americans.",-0.2,rep2
370,183,HUCKABEE,"You're telling me that you cannot make an accommodation for an elected Democrat county clerk from Rowan County, Kentucky? What else is it other than the criminalization of her faith and the exaltation of the faith of everyone else who might be a Fort Hood shooter or a detainee at Gitmo?",-0.125,rep2
371,183,HUCKABEE,(APPLAUSE),0.0,rep2
372,184,TAPPER,"Well, I'm not telling you that, Governor. But Governor Bush is, because he - because he disagrees. He thinks that Kim Davis swore to uphold the law.",0.0,rep2
373,184,TAPPER,You disagree? You're not - you don't...,0.0,rep2
374,185,BUSH,I don't think - you're not stating my views right.,0.2857142857142857,rep2
375,186,TAPPER,OK. Please do.,0.0,rep2
376,187,BUSH,I think there needs to be accommodation for someone acting on faith. Religious conscience is - is - is a first freedom. It's - it's a powerful part of our - of our Bill of Rights.,0.0,rep2
377,187,BUSH,"And, in a big, tolerant country, we should respect the rule of law, allow people in - in - in this country - I'm a - I was opposed to the decision, but we - you can't just say, ""well, they - gays can't get married now.""",0.125,rep2
378,187,BUSH,"But this woman, there should be some accommodation for her conscience, just as there should be for people that are florists that don't want to participate in weddings, or bakers. A great country like us should find a way to have accommodations for people so that we can solve the problem in the right way. This should be solved at the local level...",0.0,rep2
379,188,TAPPER,You did...,0.0,rep2
380,189,BUSH,"And so we do agree, Mike.",0.0,rep2
381,190,CHRISTIE,I was -,0.0,rep2
382,190,CHRISTIE,(CROSSTALK),0.0,rep2
383,191,TAPPER,"Governor, you said, quote, ""she is sworn to uphold the law.""",0.0,rep2
384,192,CHRISTIE,"She is, and so if she, based on conscience, can't sign that - that marriage license, then there should be someone in her office to be able to do it, and if the law needs to be changed in the state of Kentucky, which is what she's advocating, it should be changed.",0.5,rep2
385,193,TAPPER,"Let me go to my colleague Dana Bash, who has a question.",0.0,rep2
386,194,BASH,"Governor Kasich, Senator Cruz is so committed to stripping federal funds from Planned Parenthood that it could result in shutting down the federal government in just about two weeks. Do you agree with Senator Cruz's tactic?",-0.1555555555555556,rep2
387,195,KASICH,"Well, I agree that we should defund Planned Parenthood. I don't know many people in America who don't think that we should, and in my state, we're trying to figure out how to get it done, because we are threatened with the federal government taking all of our Medicaid money away.",0.5,rep2
388,195,KASICH,"I think there is a way to get this done by giving governors the ability to be able to act to defund Planned Parenthood. But when (ph) it comes to closing down the federal government, you gotta be very careful about that.",0.5,rep2
389,195,KASICH,"When we shut the government down - if we have a chance at success and it's a great principle, yes. The president of the United States is not going to sign this, and all we're gonna do is shut the government down, and then we're gonna open up - open it up, and the American people are gonna shake their heads and say, ""what's the story with these Republicans?""",-0.038888888888888896,rep2
390,195,KASICH,"So I think there is a way to get to cutting off the funding for Planned Parenthood. I was in the Congress for 18 years, balanced the budget, cut taxes, got it done. Changed welfare, went around the president to get welfare reform done.",-0.6,rep2
391,195,KASICH,"There are ways to do it without having to shut the government down, but I'm sympathetic to the fact that we don't want this organization to get funding, and the money ought to be reprogrammed for family planning in other organizations that don't support this tactic.",0.07314814814814814,rep2
392,195,KASICH,But I would not be for shutting the government down...,-0.1555555555555556,rep2
393,196,BASH,Thank you.,0.0,rep2
394,197,KASICH,...because I don't think it's going to work out.,0.0,rep2
395,198,BASH,Thank you.,0.0,rep2
396,198,BASH,"Senator Cruz, I would just add that, on this stage not that long ago, Senator Graham said that this tactic that you're pushing would tank the Republicans' ability to win in 2016.",0.375,rep2
397,199,CRUZ,"Well, let me tell you, Dana, number one, I'm proud to stand for life. These Planned Parenthood videos are horrifying. I would encourage every American to watch the videos. See - seeing your Planned Parenthood officials callously, heartlessly bartering and selling the body parts of human beings, and then ask yourself, ""are these my values?""",0.0,rep2
398,199,CRUZ,"These are horrifying. On these videos, Planned Parenthood also essentially confesses to multiple felonies. It is a felony with ten years' jail term to sell the body parts of unborn children for profit. That's what these videos show Planned Parenthood doing.",-0.05,rep2
399,199,CRUZ,"Absolutely we shouldn't be sending $500 million of taxpayer money to funding an ongoing criminal enterprise, and I'll tell you, the fact that Republican leadership in both houses has begun this discussion by preemptively surrendering to Barack Obama and saying, ""we'll give in because Obama threatens a veto.""",-0.1,rep2
400,199,CRUZ,"You know, Obama's committed to his principles. His liberal principles, he will fight for them. He says...",0.0,rep2
401,200,BASH,"Thank you, senator.",0.0,rep2
402,201,CRUZ,"I will veto any budget that doesn't fund Planned Parenthood, and Republicans surrender. We need to stop surrendering and start standing...",0.0,rep2
403,202,BASH,Thank you...,0.0,rep2
404,203,CRUZ,...for our principles.,0.0,rep2
405,203,CRUZ,(APPLAUSE),0.0,rep2
406,203,CRUZ,(CROSSTALK),0.0,rep2
407,204,BASH,"Governor - governor, I want to go to you. Is it what Senator Cruz says, a surrender by Republicans?",0.0,rep2
408,205,CHRISTIE,"We're not - what I can tell you is this. We didn't surrender in New Jersey, six years ago, as the brand new first ever pro-life governor of New Jersey since Roe versus Wade, I defended Planned Parenthood.",0.16477272727272727,rep2
409,205,CHRISTIE,"And I've vetoed Planned Parenthood funding, now, eight times in New Jersey. Since the day I walked in as governor, Planned Parenthood has not been funded in New Jersey. We stood up and every one of those vetoes has been sustained.",0.13636363636363635,rep2
410,205,CHRISTIE,"But here's the problem, we're - we're fighting with each other up here. We agree. Let's ask Hillary Clinton. She believes in the systematic murder of children in the womb to preserve their body parts...",0.0,rep2
411,206,BASH,But...,0.0,rep2
412,207,CHRISTIE,"...Dana, in a way that maximizes their value for sale for profit. It is disgusting, and the American people need to hear it...",0.0,rep2
413,208,BASH,But is it...,0.0,rep2
414,209,CHRISTIE,"...we shouldn't be fighting with each other. She's the real opponent, she's the real problem.",0.2,rep2
415,210,BASH,"But, governor, the - but, governor, the reality is, in just two weeks' time...",0.0,rep2
416,210,BASH,(APPLAUSE),0.0,rep2
417,211,BASH,"...we are going to be facing a question about whether or not it's enough to shut down the government to make that statement, because there is still a Democrat in the White House. Do you oppose it or support it?",-0.05185185185185186,rep2
418,212,CHRISTIE,"I'll tell you what - I'll tell you what I'd be willing to fight for. I'll tell you what I'd be willing to fight for. Why will (ph) we put tax reform on the president's desk, so we can simplify this tax system?",0.0,rep2
419,213,BASH,"Yes or no, do you support this shutdown?",0.0,rep2
420,214,CHRISTIE,"No, no, it's really important, Dana. We got to talk about what we would be willing to shut down for. Why don't we put tax reform on this president's desk, and make him veto it if that's what he wants to do? Why haven't we repealed and replaced Obamacare?",0.2,rep2
421,214,CHRISTIE,Make him veto if that's what he wants to do.,0.2,rep2
422,215,BASH,We're talking about Planned Parenthood right now.,0.2857142857142857,rep2
423,216,CHRISTIE,And why don't we do the same thing with Planned Parenthood?,0.0,rep2
424,217,BASH,Can you answer yes or no?,0.0,rep2
425,218,CHRISTIE,"We elected a Republican Congress to do this. And they should be doing it, and they're not. And they're giving the president a pass.",0.0,rep2
426,219,FIORINA,"Dana, I'd like to...",0.0,rep2
427,220,BASH,"One more time. I'm sorry, I just want to get the answer.",-0.5,rep2
428,221,CHRISTIE,"I put it in the list, Dana. We should be doing these things and forcing the president to take action.",0.1,rep2
429,222,BASH,So you would support a shutdown.,0.0,rep2
430,223,CHRISTIE,"Let's force him to do what he says he's going to do. Now I don't know whether he'll do it or not, but let's force him to do it.",0.0,rep2
431,224,FIORINA,"Dana, I would like to link these two issues, both of which are incredibly important, Iran and Planned Parenthood.",0.4,rep2
432,224,FIORINA,"One has something to do with the defense of the security of this nation. The other has something to do with the defense of the character of this nation. You have not heard a plan about Iran from any politician up here, here is my plan. On day one in the Oval Office, I will make two phone calls, the first to my good friend to Bibi Netanyahu to reassure him we will stand with the state of Israel.",0.475,rep2
433,224,FIORINA,"The second, to the supreme leader, to tell him that unless and until he opens every military and every nuclear facility to real anytime, anywhere inspections by our people, not his, we, the United States of America, will make it as difficult as possible and move money around the global financial system.",-0.05714285714285715,rep2
434,224,FIORINA,"We can do that, we don't need anyone's cooperation to do it. And every ally and every adversary we have in this world will know that the United States in America is back in the leadership business, which is how we must stand with our allies.",0.0,rep2
435,224,FIORINA,"As regards Planned Parenthood, anyone who has watched this videotape, I dare Hillary Clinton, Barack Obama to watch these tapes. Watch a fully formed fetus on the table, it's heart beating, it's legs kicking while someone says we have to keep it alive to harvest its brain.",0.1,rep2
436,224,FIORINA,"This is about the character of our nation, and if we will not stand up in and force President Obama to veto this bill, shame on us.",0.0,rep2
437,224,FIORINA,(APPLAUSE),0.0,rep2
438,225,TAPPER,"Dana, I want to continue on the subject.",-0.16666666666666666,rep2
439,225,TAPPER,"Governor Bush, you recently said while discussing Planned Parenthood, quote, you're ""not sure we need a half billion for women's health issues."" Now you've since said that you misspoke, you didn't mean to say ""women's health issues.""",-0.13888888888888887,rep2
440,225,TAPPER,"But Donald Trump said that quote, that comment, which Hillary Clinton did seize upon immediately, will haunt you the same way Mitt Romney's 47 percent video haunted him.",0.0,rep2
441,225,TAPPER,Tell Donald Trump why he's wrong.,-0.5,rep2
442,226,BUSH,"Well, he's wrong on a lot of things, but on this he's wrong because I'm the most pro-life governor on this stage. I got to act on my core beliefs. It's part of who I am. Life is a gift from God. And from beginning end we need to respect it and err on the side of life.",-0.16666666666666666,rep2
443,226,BUSH,"And so I defunded Planned Parenthood. We created a climate where parental notification took place. We were the only state to fund crisis pregnancy centers with state moneys. We were totally focused on this. And I would bring that kind of philosophy to Washington, D.C.",0.0,rep2
444,226,BUSH,"So here is a solution to this. Title X of the HHS funding, there is something that was the ""Reagan Rule."" It was passed in 1988. And in that rule it was defined, and the courts approved this, that a Planned Parenthood, you couldn't separate the money between the actual abortion procedures, and there are 330,000 abortions that take place in this clinic, and their promotion of it.",0.0,rep2
445,226,BUSH,"He interpreted it the right way, the courts ruled in his favor, and Planned Parenthood did not get funding during that time until President Clinton came in.",0.2857142857142857,rep2
446,226,BUSH,"When I'm elected president, we will restore that interpretation of Title X. And this deal will be finished.",0.0,rep2
447,226,BUSH,(APPLAUSE),0.0,rep2
448,227,TAPPER,"Thank you, Governor Bush.",0.0,rep2
449,227,TAPPER,"Donald Trump, let me just...",0.0,rep2
450,228,TRUMP,"Jeb, just...",0.0,rep2
451,229,TAPPER,"The quote was, ""I'm not sure we need half a billion dollars for women's health issues."" He said he misspoke. You said that that's going to haunt him. Why do you think that?",-0.2083333333333333,rep2
452,230,TRUMP,I think it will haunt him. I think it's a terrible. I think it's going to haunt him absolutely. He came back later and he said he misspoke. There was no question because I heard when he said the statement. I was watching and he said the statement.,0.0,rep2
453,230,TRUMP,"And I said, wow, I can't believe it. I will take care of women. I respect women. I will take care of women.",0.1,rep2
454,230,TRUMP,One thing we will say and I would like to get back to the Iran situation. We're talking about Iran. The agreement was terrible. It was incompetent. I've never seen anything like it. One of the worst contracts of any kind I've ever seen.,0.0,rep2
455,230,TRUMP,And nobody ever mentions North Korea where you have this maniac sitting there and he actually has nuclear weapons and somebody better start thinking about North Korea and perhaps a couple of other places. But certainly North Korea.,0.125,rep2
456,230,TRUMP,"And Ted and I have spoken. We've - a lot of us have spoken. We're talking about Iran. They are bad actors, bad things are going to happen. But in the meantime, you have somebody right now in North Korea who has got nuclear weapons and who is saying almost every other week, I'm ready to use them. And we don't even mention it.",0.12023809523809526,rep2
457,231,TAPPER,Governor Bush?,0.0,rep2
458,232,BUSH,"There are 13,000 community-based organizations that provide health services to women, 13,000 in this country. I don't believe that Planned Parenthood should get a penny from the federal government. Those organizations should get funding, just as I increased funding when I was governor of the state.",0.0,rep2
459,232,BUSH,"That's the way you do this is you improve the condition for people. And, Donald, when I was governor, we also increased the opportunities for women.",0.0,rep2
460,232,BUSH,Women's income grew three times faster than the national average when I was governor.,-0.15,rep2
461,233,TRUMP,So why didn't you say it? Why didn't you say it?,0.0,rep2
462,234,BUSH,We improved - we improved -,0.0,rep2
463,235,TRUMP,"I know, but why did you say it? I heard it myself. Why did you say it?",0.0,rep2
464,236,BUSH,- we increased child support - we increased child support with a broken system by 90 percent.,-0.4,rep2
465,237,TRUMP,You said you're going to cut funding for women's health. You said it.,0.0,rep2
466,238,BUSH,I have a proven record. I have a proven record.,0.0,rep2
467,239,TRUMP,You said it.,0.0,rep2
468,240,TAPPER,I want to - we're going to get to -,0.0,rep2
469,241,WALKER,"Jake, just one more moment. This is - there's something bigger to this. Now, I - like so many other governors here, I defunded Planned Parenthood four-and-a-half years ago, in a Blue State. But it's bigger than that. We did that in a Blue State, we took the money and put it into women's health, so we did exactly what we're talking about here.",0.125,rep2
470,241,WALKER,"But I think the bigger issue here is we should be able to do this nationally, and this is precisely why so many Republicans are upset with Washington. They see the House and they see the Senate and they say why can't we pass this. Why can't we defund Planned - put it in a spending bill.",0.35,rep2
471,241,WALKER,"Forget about the 60-vote rule, there's no reason - and the Constitution doesn't call for 60 votes. Pass it with 51 votes, put it on the desk of the president -",0.0,rep2
472,242,TAPPER,"Thank you, Governor.",0.0,rep2
473,243,WALKER,- and go forward and actually make a point. This is why -,0.0,rep2
474,244,TAPPER,"Thank you, Governor.",0.0,rep2
475,245,WALKER,- people are upset with Washington.,0.0,rep2
476,246,TAPPER,"We're going to - we're going to get to many of these issues. This - we're still in the first block, believe it or not. We're going to get to many of these issues, but before we end this block, Ms. Fiorina, I do want to ask you about this.",0.5,rep2
477,246,TAPPER,"In an interview last week in Rolling Stone magazine, Donald Trump said the following about you. Quote, ""Look at that face. Would anyone vote for that? Can you imagine that, the face of our next president?"" Mr. Trump later said he was talking about your persona, not your appearance. Please feel free to respond what you think about his persona.",0.0,rep2
478,246,TAPPER,(LAUGHTER),0.0,rep2
479,247,FIORINA,"You know, it's interesting to me, Mr. Trump said that he heard Mr. Bush very clearly and what Mr. Bush said. I think women all over this country heard very clearly what Mr. Trump said.",0.315,rep2
480,247,FIORINA,(APPLAUSE),0.0,rep2
481,248,TRUMP,"I think she's got a beautiful face, and I think she's a beautiful woman.",0.85,rep2
482,249,TAPPER,"All right. On that note, in less than two minutes - we're going to take a very quick break. In less than two minutes, the most contentious issue on the campaign trail. And the candidates on the stage are split over how to handle it. That's coming up next.",0.13333333333333336,rep2
483,249,TAPPER,Please give some applause to the candidates.,0.0,rep2
484,249,TAPPER,(APPLAUSE),0.0,rep2
485,249,TAPPER,(COMMERCIAL BREAK),0.0,rep2
486,250,TAPPER,Welcome to CNN's Republican Presidential Debate. No topic perhaps has been more combustible in this campaign than the issue of immigration.,0.5,rep2
487,250,TAPPER,"Mr. Trump, you have called for deporting every undocumented immigrant, Governor Christie has said, quote, ""There are not enough law enforcement officers - local, county, state and federal combined - to forcibly deport 11 to 12 million people.""",0.16666666666666666,rep2
488,250,TAPPER,"Tell Governor Christie how much your plan will cost, and how you will get it done.",0.2,rep2
489,251,TRUMP,"Correct. First of all, I want to build a wall, a wall that works. So important, and it's a big part of it.",0.25,rep2
490,251,TRUMP,"Second of all, we have a lot of really bad dudes in this country from outside, and I think Chris knows that, maybe as well as anybody.",-0.2333333333333333,rep2
491,251,TRUMP,"They go, if I get elected, first day they're gone. Gangs all over the place. Chicago, Baltimore, no matter where you look.",0.25,rep2
492,251,TRUMP,"We have a country based on laws. I will make sure that those laws are adhered to. These are illegal immigrants. I don't think you'd even be asking this question if I didn't run because when I ran, and I brought this up, my opening remarks at Trump Tower, I took heat like nobody has taken heat in a long time. And, then they found out with the killing of Katie, from San Francisco, and so many other crimes, they found out that I was right.",-0.05,rep2
493,251,TRUMP,"And, most people, many people, apologized to me. I don't think you'd even be talking about illegal immigration if it weren't for me. So, we have a country of laws, they're going to go out, and they'll come back if they deserve to come back. If they've had a bad record, if they've been arrested, if they've been in jail, they're never coming back. We're going to have a country again. Right now, we don't have a country, we don't have a border, and we're going to do something about it, and it can be done with proper management, and it can be done with heart.",0.14285714285714285,rep2
494,252,TAPPER,"Governor Christie, you and I have talked about this in an interview. You say that his big wall, his plan to deport 11 to 12 million undocumented immigrants, it sounds great, but it's never going to happen.",0.4,rep2
495,252,TAPPER,Tell him why you're skeptical of his plans?,-0.5,rep2
496,253,CHRISTIE,"First of, Jake, I don't yield to anybody on how to enforce the law. I'm the only person on this stage who spent seven years as a United States Attorney after September 11th, and I know how to do this.",-0.05,rep2
497,253,CHRISTIE,"The fact is though that for 15,000 people a day to be deported every day for two years is an undertaking that almost none of us could accomplish given the current levels of funding, and the current number of law enforcement officers. Here's what we need to do, and I think this is where Donald is absolutely right. What we need to do is to secure our border, and we need to do it with more than just a wall.",0.0,rep2
498,253,CHRISTIE,"We need to use electronics, we need to use drones, we need to use FBI, DEA, and ATF, and yes, we need to take the fingerprint of every person who comes into this country on a visa, and when they overstay their visa, we need to tap them on the shoulder, and say, ""You have overstayed your welcome, you're taking advantage of the American people. It's time for you to go.""",0.4,rep2
499,253,CHRISTIE,"If we had that kind of system in place, we wouldn't have the 11 million people we have now.",0.6,rep2
500,254,TAPPER,"Thank you, Governor Christie...",0.0,rep2
501,255,TRUMP,"...By the way, I agree with - with what Chris is saying, but, I will say this. Illegal immigration is costing us more than $200 billion dollars a year just to maintain what we have.",0.0,rep2
502,256,TAPPER,"I want to bring in Dr. Carson because he too has been skeptical of your plan to immediately deport 11 to 12 million illegal immigrants. He said, quote, ""People who say that have no idea what this entails.""",-0.5,rep2
503,256,TAPPER,"Why do you say that, Dr. Carson?",0.0,rep2
504,257,CARSON,"Well, first of all, I recognize that we have an incredible illegal immigration problem. I was down in Arizona a few weeks ago at the border. I mean, the fences that were there were not manned, and those are the kind of fences when I was a kid that would barely slow us down. So, I don't see any purpose in having that.",-0.04201388888888891,rep2
505,257,CARSON,"Now, what we need to do is look at something that actually works. Yuma County, Arizona. They stop 97 percent of the illegal immigrants through there. They put in a double fence with a road so that there was quick access by the enforcement people.",0.16666666666666666,rep2
506,257,CARSON,"If we don't seal the border, the rest of this stuff clearly doesn't matter. It's kind of ridiculous all the other things we talk about. We have the ability to do it, we don't have the will to do it.",0.10000000000000002,rep2
507,257,CARSON,"There was one area where they had cut a hole in the fence, and to repair it, they put a few strands of barb wire across. Well, the photographers who were there with us, they wanted to photograph us from the side of the Mexicans, and they went through there, and they were not physically fit people, and they took their cameras and things with them, and shot us from the other side.",-0.1625,rep2
508,257,CARSON,"That's how easy it is to get across. And, the drugs, I mean, it goes on, and on, and on. ICE tells them to release these people, 67,000 criminals released...",0.0,rep2
509,258,TAPPER,...Dr. Carson...,0.0,rep2
510,259,CARSON,"...on to our property, it's ridiculous.",-0.3333333333333333,rep2
511,260,TAPPER,"With all due respect, you said about Donald Trump's plan to deport 11 to 12 million undocumented immigrants, ""People who say that have no idea what this entails.""",-0.125,rep2
512,260,TAPPER,Why not?,0.0,rep2
513,261,CARSON,"Well, I have also said, if anybody knows how to do that, that I would be willing to listen. And, if they can, you know, specify exactly how that's going to be done, and what the cost, and it sounds reasonable, then I think it's worth discussing...",0.25,rep2
514,262,TRUMP,...(INAUDIBLE)...,0.0,rep2
515,263,TAPPER,...let's continue the conversation about illegal immigration with Dana Bash.,-0.5,rep2
516,264,BASH,"Governor Bush, Mr. Trump has suggested that your views on immigration are influenced by your Mexican born wife. He said that, quote, ""If my wife were from Mexico, I think I would have a soft spot for people from Mexico."" Did Mr. Trump go to far in invoking your wife?",0.0,rep2
517,265,BUSH,"He did, he did. You're proud of your family, just as I am.",0.8,rep2
518,266,TRUMP,Correct.,0.0,rep2
519,267,BUSH,"To subject my wife into the middle of a raucous political conversation was completely inappropriate, and I hope you apologize for that, Donald.",-0.07333333333333332,rep2
520,268,TRUMP,"Well, I have to tell you, I hear phenomenal things. I hear your wife is a lovely woman...",0.5,rep2
521,269,BUSH,She is. She's fantastic.,0.4,rep2
522,270,TRUMP,"I don't know her, and this is a total mischaracterization...",0.0,rep2
523,271,BUSH,"She is absolutely the love of my life, and she's right here...",0.32857142857142857,rep2
524,272,TRUMP,Good.,0.7,rep2
525,273,BUSH,And why don't you apologize to her right now.,0.2857142857142857,rep2
526,274,TRUMP,"No, I won't do that, because I've said nothing wrong.",-0.5,rep2
527,275,BUSH,Yeah.,0.0,rep2
528,276,TRUMP,But I do hear she's a lovely woman.,0.5,rep2
529,277,BUSH,"So, here's the deal. My wife is a Mexican-American. She's an American by choice.",0.0,rep2
530,277,BUSH,"She loves this country as much as anybody in this room, and she wants a secure border. But she wants to embrace the traditional American values that make us special and make us unique.",0.18642857142857144,rep2
531,277,BUSH,"We're at a crossroads right now. Are we going to take the Reagan approach, the hopeful optimistic approach, the approach that says that, you come to our country legally, you pursue your dreams with a vengeance, you create opportunities for all of us?",0.2,rep2
532,277,BUSH,"Or the Donald Trump approach? The approach that says that everything is bad, that everything is coming to an end. I...",-0.6999999999999998,rep2
533,278,BASH,Mr. Trump?,0.0,rep2
534,279,TRUMP,Jeb said...,0.0,rep2
535,280,BUSH,I'm on the Reagan side of this.,0.0,rep2
536,281,TRUMP,... that they come into our country as an act of love.,0.5,rep2
537,281,TRUMP,"With all of the problems we that we have, in so many instances - we have wonderful people coming in. But with all of the problems - this is not an act of love. He's weak on immigration - by the way, in favor of Common Core, which is also a disaster, but weak on immigration.",-0.35000000000000003,rep2
538,281,TRUMP,He doesn't get my vote.,0.0,rep2
539,282,BASH,Mr. Trump...,0.0,rep2
540,283,FIORINA,"Dana, with all being said to Mr. Trump...",0.0,rep2
541,284,BASH,Go ahead.,0.0,rep2
542,285,FIORINA,"Immigration did not come up in 2016 because Mr. Trump brought it up. We talked about it in 2012, we talked about it in 2008. We talked about it in 2004.",0.0,rep2
543,286,TRUMP,Not with this intensity.,0.0,rep2
544,287,FIORINA,We have been talking about it for 25 years. This is why people are tired of politicians.,-0.4,rep2
545,288,BASH,"Ms. Fiorina - Ms. Fiorina, we're going to come to you, we're going to come to you.",0.0,rep2
546,288,BASH,I just want to give Governor Bush a chance to respond to what Mr. Trump said. ,0.0,rep2
547,289,BUSH,"Look, first of all, I wrote a book about this, three - four years ago, now. And I laid out a comprehensive, conservative approach for immigration reform.",0.0,rep2
548,289,BUSH,"And it does require securing the border. No one disagrees with that. But to build a wall, and to deport people - half a million a month - would cost hundreds of billions of dollars, Donald. Hundreds of billions of dollars. It would destroy community life, it would tear families apart.",-0.16666666666666666,rep2
549,289,BUSH,And it would send a signal to the rest of the world that the United States values that are so important for our long-term success no longer matter in this country.,0.35,rep2
550,289,BUSH,(APPLAUSE),0.0,rep2
